algo,obs_mode,seed,model_path
ppo,minimal,0,models\pacman_ppo_minimal_seed0.zip
ppo,minimal,1,models\pacman_ppo_minimal_seed1.zip
ppo,minimal,2,models\pacman_ppo_minimal_seed2.zip
ppo,minimal,3,models\pacman_ppo_minimal_seed3.zip
ppo,bool_power,0,models\pacman_ppo_bool_power_seed0.zip
ppo,bool_power,1,models\pacman_ppo_bool_power_seed1.zip
ppo,bool_power,2,models\pacman_ppo_bool_power_seed2.zip
ppo,bool_power,3,models\pacman_ppo_bool_power_seed3.zip
ppo,power_time,0,models\pacman_ppo_power_time_seed0.zip
ppo,power_time,1,models\pacman_ppo_power_time_seed1.zip
ppo,power_time,2,models\pacman_ppo_power_time_seed2.zip
ppo,power_time,3,models\pacman_ppo_power_time_seed3.zip
ppo,coins_quadrants,0,models\pacman_ppo_coins_quadrants_seed0.zip
ppo,coins_quadrants,1,models\pacman_ppo_coins_quadrants_seed1.zip
ppo,coins_quadrants,2,models\pacman_ppo_coins_quadrants_seed2.zip
ppo,coins_quadrants,3,models\pacman_ppo_coins_quadrants_seed3.zip
